request_id,hour,pickup_zone,dropoff_zone,vehicle_tier,distance_km,duration_min,weather_condition,precipitation_mm_h,visibility_km,temperature_c,congestion_index,traffic_incidents,active_drivers,open_requests,dsr_ratio,rider_loyalty,subtotal_base_fare,weather_multiplier,traffic_multiplier,dsr_multiplier,time_multiplier,total_surge_multiplier,final_fare,driver_payout,platform_commission,acceptance_probability,is_accepted,is_capped
REQ-000022,13,FINANCIAL_DISTRICT,TECH_CORRIDOR,STANDARD,6.66,20.6,RAIN,13.4,7.2,12.2,0.09,0,22,35,1.59,GOLD,18.53,0.419,0.0,0.207,0.0,1.63,30.2,23.82,6.38,0.7555,1,0
REQ-000023,10,AIRPORT,FINANCIAL_DISTRICT,COMFORT,2.62,5.4,CLEAR,0.0,10.0,6.9,0.19,0,42,52,1.24,PLATINUM,11.25,0.014,0.0,0.084,0.0,1.1,12.38,9.4,2.98,0.9405,1,0
REQ-000024,11,AIRPORT,FINANCIAL_DISTRICT,XL,2.99,7.9,RAIN,6.8,6.4,18.8,0.28,0,8,76,9.5,PLATINUM,17.02,0.327,0.011,1.2,0.0,2.54,43.23,35.04,8.19,0.3327,0,0
REQ-000025,10,FINANCIAL_DISTRICT,SUBURB_NORTH,PREMIUM,3.82,10.4,DRIZZLE,0.0,10.0,22.9,0.41,0,28,61,2.18,REGULAR,27.54,0.1,0.063,0.413,0.0,1.58,43.51,34.23,9.28,0.6831,1,0
REQ-000026,19,FINANCIAL_DISTRICT,TECH_CORRIDOR,PREMIUM,19.61,60.1,DRIZZLE,0.0,10.0,16.0,0.54,0,46,51,1.11,REGULAR,114.0,0.132,0.282,0.0,0.25,1.66,189.24,149.45,39.79,0.6401,1,0
REQ-000027,21,FINANCIAL_DISTRICT,TECH_CORRIDOR,COMFORT,19.13,42.0,DRIZZLE,0.0,10.0,14.1,0.35,0,20,28,1.4,REGULAR,54.96,0.127,0.034,0.14,0.0,1.3,71.45,55.24,16.21,0.8085,1,0
REQ-000028,6,SUBURB_NORTH,DOWNTOWN,PREMIUM,12.78,34.3,RAIN,7.6,5.6,9.0,0.41,0,57,64,1.12,REGULAR,72.93,0.336,0.063,0.0,0.0,1.4,102.1,79.49,22.61,0.7685,0,0
REQ-000029,3,TECH_CORRIDOR,SUBURB_NORTH,STANDARD,16.49,50.9,CLEAR,0.0,10.0,26.6,0.45,0,36,74,2.06,REGULAR,41.42,0.0,0.086,0.371,0.15,1.61,66.69,52.54,14.15,0.6673,0,0
REQ-000030,20,SUBURB_NORTH,FINANCIAL_DISTRICT,PREMIUM,13.7,39.1,CLEAR,0.0,10.0,26.0,0.15,0,23,44,1.91,REGULAR,79.59,0.0,0.0,0.318,0.0,1.32,105.06,81.34,23.72,0.8009,0,0
REQ-000031,22,DOWNTOWN,AIRPORT,COMFORT,8.01,22.2,CLEAR,0.0,10.0,16.2,0.24,1,34,59,1.74,PLATINUM,27.71,0.0,0.123,0.259,0.0,1.38,38.24,29.73,8.51,0.8897,1,0
REQ-000032,12,DOWNTOWN,TECH_CORRIDOR,PREMIUM,2.15,4.9,HEAVY_RAIN,58.1,1.5,25.2,0.29,0,35,72,2.06,REGULAR,18.19,1.2,0.014,0.371,0.0,2.58,46.93,38.07,8.86,0.1636,0,0
REQ-000033,17,SUBURB_NORTH,FINANCIAL_DISTRICT,PREMIUM,25.91,82.2,CLEAR,0.0,10.0,15.6,0.41,0,37,33,0.89,REGULAR,150.42,0.0,0.063,0.0,0.25,1.31,197.05,152.45,44.6,0.8047,1,0
REQ-000034,8,FINANCIAL_DISTRICT,TECH_CORRIDOR,XL,10.78,32.7,RAIN,13.0,5.0,7.2,0.64,0,49,18,0.37,GOLD,48.26,0.396,0.396,0.0,0.2,1.99,96.04,76.81,19.23,0.5656,0,0
REQ-000035,7,DOWNTOWN,AIRPORT,COMFORT,23.82,63.6,CLEAR,0.0,10.0,23.1,0.5,0,18,24,1.33,GOLD,72.42,0.0,0.12,0.116,0.2,1.44,104.28,81.4,22.88,0.8298,1,0
REQ-000036,12,AIRPORT,DOWNTOWN,STANDARD,26.15,68.1,CLEAR,0.0,10.0,24.3,0.33,0,57,48,0.84,GOLD,59.52,0.0,0.027,0.0,0.0,1.03,61.31,46.16,15.15,0.9288,1,0
REQ-000037,2,DOWNTOWN,FINANCIAL_DISTRICT,XL,15.85,43.2,CLEAR,0.0,10.0,14.2,0.38,1,31,68,2.19,GOLD,65.21,0.037,0.168,0.416,0.15,1.77,115.42,91.59,23.83,0.6883,1,0
REQ-000038,18,TECH_CORRIDOR,AIRPORT,PREMIUM,14.09,41.7,CLEAR,0.0,10.0,28.0,0.44,0,37,58,1.57,REGULAR,82.9,0.031,0.08,0.2,0.25,1.56,129.32,101.63,27.69,0.6934,1,0
REQ-000039,10,AIRPORT,FINANCIAL_DISTRICT,PREMIUM,7.52,21.9,CLEAR,0.0,10.0,21.1,0.27,0,23,62,2.7,REGULAR,47.67,0.046,0.009,0.595,0.0,1.65,78.66,62.09,16.57,0.6457,0,0
REQ-000040,7,SUBURB_NORTH,TECH_CORRIDOR,PREMIUM,22.62,43.7,CLEAR,0.0,10.0,11.6,0.57,0,55,80,1.45,REGULAR,108.49,0.0,0.313,0.157,0.2,1.67,181.18,143.15,38.03,0.6346,0,0
REQ-000041,10,AIRPORT,SUBURB_NORTH,XL,7.99,22.5,CLEAR,0.0,10.0,19.5,0.12,0,54,77,1.43,REGULAR,36.28,0.01,0.0,0.15,0.0,1.16,42.08,32.14,9.94,0.8552,0,0
REQ-000042,22,FINANCIAL_DISTRICT,SUBURB_NORTH,COMFORT,11.38,25.3,CLEAR,0.0,10.0,12.4,0.27,0,56,72,1.29,REGULAR,34.66,0.074,0.009,0.102,0.0,1.19,41.25,31.6,9.65,0.8461,1,0
REQ-000043,1,AIRPORT,TECH_CORRIDOR,PREMIUM,13.45,27.7,CLEAR,0.0,10.0,28.3,0.08,0,51,16,0.31,REGULAR,69.2,0.0,0.0,0.0,0.15,1.15,79.58,60.72,18.86,0.8581,1,0
REQ-000044,19,AIRPORT,DOWNTOWN,COMFORT,5.08,14.6,DRIZZLE,0.0,10.0,21.7,0.57,0,45,64,1.42,REGULAR,19.45,0.115,0.315,0.147,0.25,1.83,35.59,28.31,7.28,0.5419,0,0
REQ-000045,2,TECH_CORRIDOR,DOWNTOWN,COMFORT,18.26,39.6,CLEAR,0.0,10.0,9.7,0.05,0,26,14,0.54,REGULAR,52.45,0.0,0.0,0.0,0.15,1.15,60.32,46.03,14.29,0.8581,1,0
REQ-000046,20,SUBURB_NORTH,DOWNTOWN,COMFORT,26.02,75.5,DRIZZLE,0.0,10.0,26.7,0.1,0,25,28,1.12,REGULAR,81.41,0.1,0.0,0.0,0.0,1.1,89.55,67.98,21.57,0.8721,1,0
REQ-000047,22,AIRPORT,SUBURB_NORTH,PREMIUM,5.23,14.5,CLEAR,0.0,10.0,12.4,0.23,0,55,51,0.93,REGULAR,34.96,0.0,0.002,0.0,0.0,1.0,34.96,26.22,8.74,0.8966,1,0
REQ-000048,5,FINANCIAL_DISTRICT,DOWNTOWN,XL,16.98,48.7,CLEAR,0.0,10.0,22.6,0.12,0,39,21,0.54,REGULAR,70.88,0.057,0.0,0.0,0.0,1.06,75.13,56.77,18.36,0.8825,1,0
REQ-000049,9,AIRPORT,DOWNTOWN,COMFORT,10.57,29.3,DRIZZLE,0.0,10.0,15.8,0.42,1,24,51,2.12,REGULAR,35.13,0.11,0.189,0.392,0.2,1.89,66.4,52.93,13.47,0.506,0,0
REQ-000050,11,TECH_CORRIDOR,DOWNTOWN,PREMIUM,12.74,26.3,DRIZZLE,0.0,10.0,18.5,0.07,0,26,66,2.54,GOLD,66.03,0.1,0.0,0.539,0.0,1.64,108.29,85.44,22.85,0.751,1,0
REQ-000051,13,DOWNTOWN,AIRPORT,COMFORT,10.08,18.3,CLEAR,0.0,10.0,31.8,0.23,1,17,73,4.29,PLATINUM,29.37,0.056,0.122,1.151,0.0,2.33,68.43,55.23,13.2,0.4521,1,0
REQ-000052,17,AIRPORT,TECH_CORRIDOR,PREMIUM,27.49,58.9,CLEAR,0.0,10.0,10.1,0.74,1,12,45,3.75,GOLD,135.03,0.0,0.646,0.962,0.25,2.86,386.19,314.76,71.43,0.139,0,0
REQ-000053,18,AIRPORT,SUBURB_NORTH,STANDARD,9.35,20.7,DRIZZLE,0.0,10.0,22.8,0.6,0,56,79,1.41,REGULAR,21.93,0.141,0.348,0.143,0.25,1.88,41.23,32.85,8.38,0.512,0,0
REQ-000054,1,FINANCIAL_DISTRICT,AIRPORT,PREMIUM,8.07,23.3,CLEAR,0.0,10.0,17.8,0.2,0,49,29,0.59,REGULAR,50.4,0.056,0.0,0.0,0.15,1.21,60.98,46.79,14.19,0.8397,1,0
REQ-000055,16,TECH_CORRIDOR,AIRPORT,STANDARD,24.73,59.8,THUNDERSTORM,20.6,0.9,28.5,0.08,0,47,60,1.28,REGULAR,54.84,1.2,0.0,0.098,0.0,2.3,126.13,101.73,24.4,0.2769,0,0
REQ-000056,15,TECH_CORRIDOR,SUBURB_NORTH,XL,18.3,55.7,HEAVY_RAIN,21.4,0.7,22.0,0.45,0,14,22,1.57,REGULAR,77.85,1.029,0.086,0.2,0.0,2.31,179.83,145.07,34.76,0.2721,0,0
REQ-000057,11,DOWNTOWN,FINANCIAL_DISTRICT,XL,22.7,50.2,CLEAR,0.0,10.0,11.6,0.32,0,47,58,1.23,REGULAR,83.79,0.0,0.023,0.08,0.0,1.1,92.17,69.97,22.2,0.8721,1,0
REQ-000058,8,TECH_CORRIDOR,FINANCIAL_DISTRICT,COMFORT,13.99,30.2,DRIZZLE,0.0,10.0,29.3,0.53,0,30,48,1.6,REGULAR,41.17,0.1,0.272,0.21,0.2,1.78,73.28,58.17,15.11,0.5715,1,0
REQ-000059,15,AIRPORT,TECH_CORRIDOR,XL,7.18,16.8,CLEAR,0.0,10.0,15.3,0.17,2,50,60,1.2,REGULAR,31.16,0.0,0.24,0.0,0.0,1.24,38.64,29.73,8.91,0.8298,1,0
REQ-000060,11,DOWNTOWN,TECH_CORRIDOR,XL,22.17,47.0,CLEAR,0.0,10.0,10.1,0.35,0,16,22,1.38,PLATINUM,80.76,0.0,0.034,0.133,0.0,1.17,94.49,72.24,22.25,0.9303,1,0
REQ-000061,2,AIRPORT,TECH_CORRIDOR,STANDARD,17.07,48.2,THUNDERSTORM,33.1,1.5,10.4,0.4,0,25,31,1.24,REGULAR,41.21,1.2,0.058,0.084,0.15,2.49,102.61,83.1,19.51,0.1953,0,0
REQ-000062,2,SUBURB_NORTH,AIRPORT,XL,22.91,56.3,CLEAR,0.0,10.0,31.1,0.34,0,59,56,0.95,REGULAR,87.89,0.04,0.03,0.0,0.15,1.22,107.23,82.36,24.87,0.8364,1,0
REQ-000063,8,AIRPORT,DOWNTOWN,PREMIUM,11.58,33.0,DRIZZLE,0.0,10.0,27.2,0.45,2,43,51,1.19,PLATINUM,68.47,0.164,0.326,0.0,0.2,1.69,115.71,91.51,24.2,0.7931,1,0
REQ-000064,1,DOWNTOWN,TECH_CORRIDOR,XL,18.88,37.1,SNOW,6.7,6.0,-1.7,0.23,0,42,63,1.5,REGULAR,67.91,0.509,0.002,0.175,0.15,1.84,124.95,99.42,25.53,0.5359,0,0
REQ-000065,8,SUBURB_NORTH,DOWNTOWN,PREMIUM,18.01,56.1,CLEAR,0.0,10.0,15.0,0.83,0,51,57,1.12,REGULAR,106.12,0.0,0.658,0.0,0.2,1.86,197.38,157.16,40.22,0.524,0,0
REQ-000066,14,AIRPORT,DOWNTOWN,PREMIUM,9.17,28.9,CLEAR,0.0,10.0,10.7,0.44,1,29,41,1.41,PLATINUM,58.24,0.0,0.2,0.143,0.0,1.34,78.04,60.51,17.53,0.8988,1,0
REQ-000067,7,FINANCIAL_DISTRICT,DOWNTOWN,COMFORT,17.25,50.7,CLEAR,0.0,10.0,9.0,0.4,0,16,79,4.94,REGULAR,55.78,0.052,0.058,1.2,0.2,2.51,140.01,113.43,26.58,0.1879,1,0
REQ-000068,18,DOWNTOWN,AIRPORT,STANDARD,11.31,32.8,CLEAR,0.0,10.0,9.7,0.73,0,38,67,1.76,GOLD,28.62,0.0,0.514,0.266,0.25,2.03,58.1,46.52,11.58,0.5419,1,0
REQ-000069,21,DOWNTOWN,TECH_CORRIDOR,COMFORT,26.58,49.5,CLEAR,0.0,10.0,17.4,0.07,0,51,23,0.45,REGULAR,70.64,0.071,0.0,0.0,0.0,1.07,75.58,57.18,18.4,0.88,0,0
REQ-000070,8,DOWNTOWN,FINANCIAL_DISTRICT,XL,17.82,33.7,DRIZZLE,0.0,10.0,20.8,0.57,0,40,65,1.62,REGULAR,63.64,0.1,0.315,0.217,0.2,1.83,116.46,92.63,23.83,0.5419,0,0
REQ-000071,10,TECH_CORRIDOR,FINANCIAL_DISTRICT,PREMIUM,13.74,29.1,HEAVY_RAIN,35.9,2.3,13.4,0.15,0,38,18,0.47,REGULAR,71.2,0.974,0.0,0.0,0.0,1.97,140.26,112.1,28.16,0.4581,1,0
REQ-000072,18,SUBURB_NORTH,DOWNTOWN,XL,23.11,59.6,SNOW,9.7,6.7,-1.9,0.59,0,26,49,1.88,REGULAR,90.29,0.611,0.337,0.308,0.25,2.51,226.63,183.61,43.02,0.1879,0,0
REQ-000073,17,FINANCIAL_DISTRICT,AIRPORT,PREMIUM,7.83,15.3,CLEAR,0.0,10.0,25.6,0.76,0,60,13,0.22,REGULAR,42.93,0.0,0.555,0.0,0.25,1.81,77.7,61.75,15.95,0.5538,0,0
REQ-000074,10,AIRPORT,DOWNTOWN,COMFORT,9.11,26.1,CLEAR,0.0,10.0,9.9,0.31,1,55,13,0.24,REGULAR,31.28,0.0,0.14,0.0,0.0,1.14,35.66,27.18,8.48,0.861,1,0
REQ-000075,23,SUBURB_NORTH,TECH_CORRIDOR,PREMIUM,10.86,25.2,CLEAR,0.0,10.0,30.4,0.4,0,11,20,1.82,REGULAR,59.83,0.0,0.058,0.287,0.15,1.49,89.15,69.79,19.36,0.7279,1,0
REQ-000076,3,SUBURB_NORTH,TECH_CORRIDOR,PREMIUM,9.1,26.0,CLEAR,0.0,10.0,8.0,0.29,0,22,60,2.73,PLATINUM,55.58,0.0,0.014,0.605,0.15,1.77,98.38,78.06,20.32,0.7599,1,0
REQ-000077,9,FINANCIAL_DISTRICT,SUBURB_NORTH,COMFORT,21.95,63.0,CLEAR,0.0,10.0,5.2,0.48,0,40,55,1.38,REGULAR,69.07,0.006,0.106,0.133,0.2,1.45,100.15,78.22,21.93,0.7465,0,0
REQ-000078,10,DOWNTOWN,TECH_CORRIDOR,STANDARD,13.95,26.6,DRIZZLE,0.0,10.0,20.5,0.22,1,9,51,5.67,REGULAR,29.75,0.1,0.121,1.2,0.0,2.42,72.0,58.23,13.77,0.223,0,0
REQ-000079,13,SUBURB_NORTH,AIRPORT,STANDARD,13.35,26.0,DRIZZLE,0.0,10.0,19.1,0.17,0,18,19,1.06,REGULAR,28.79,0.1,0.0,0.0,0.0,1.1,31.67,24.04,7.63,0.8721,1,0
REQ-000080,20,TECH_CORRIDOR,FINANCIAL_DISTRICT,XL,11.13,35.0,RAIN,5.8,4.6,10.3,0.35,0,57,73,1.28,REGULAR,50.37,0.315,0.034,0.098,0.0,1.45,73.04,57.05,15.99,0.7465,1,0
REQ-000081,4,TECH_CORRIDOR,SUBURB_NORTH,XL,24.47,65.5,CLEAR,0.0,10.0,17.7,0.37,0,12,49,4.08,REGULAR,96.69,0.0,0.043,1.078,0.0,2.12,204.98,164.56,40.42,0.371,1,0
REQ-000082,2,AIRPORT,SUBURB_NORTH,STANDARD,18.76,59.4,DRIZZLE,0.0,10.0,18.7,0.27,0,36,34,0.94,REGULAR,47.24,0.1,0.009,0.0,0.15,1.26,59.52,45.87,13.65,0.8229,1,0
REQ-000083,10,FINANCIAL_DISTRICT,DOWNTOWN,PREMIUM,4.69,14.3,FOG,0.0,10.0,7.3,0.07,0,41,76,1.85,REGULAR,33.29,0.2,0.0,0.297,0.0,1.5,49.94,39.12,10.82,0.7231,1,0
REQ-000084,1,AIRPORT,TECH_CORRIDOR,PREMIUM,22.14,60.9,RAIN,10.8,4.3,7.6,0.16,0,46,29,0.63,REGULAR,121.76,0.371,0.0,0.0,0.15,1.52,185.08,145.14,39.94,0.7134,1,0
REQ-000085,12,FINANCIAL_DISTRICT,SUBURB_NORTH,XL,27.16,75.4,CLEAR,0.0,10.0,24.1,0.27,0,16,77,4.81,REGULAR,108.28,0.0,0.009,1.2,0.0,2.21,239.3,192.58,46.72,0.3221,0,0
REQ-000086,6,TECH_CORRIDOR,AIRPORT,STANDARD,11.43,23.5,CLEAR,0.0,10.0,25.7,0.45,0,58,22,0.38,REGULAR,25.51,0.0,0.086,0.0,0.0,1.09,27.81,21.09,6.72,0.8748,1,0
REQ-000087,19,TECH_CORRIDOR,DOWNTOWN,XL,24.79,66.1,CLEAR,0.0,10.0,9.4,0.75,0,36,15,0.42,REGULAR,97.72,0.031,0.539,0.0,0.25,1.82,177.85,141.4,36.45,0.5479,0,0
REQ-000088,7,FINANCIAL_DISTRICT,TECH_CORRIDOR,XL,21.56,62.5,CLEAR,0.0,10.0,13.4,0.61,0,44,66,1.5,REGULAR,88.78,0.025,0.36,0.175,0.2,1.76,156.25,123.93,32.32,0.5832,1,0
REQ-000089,4,SUBURB_NORTH,TECH_CORRIDOR,COMFORT,23.24,67.9,HEAVY_RAIN,22.1,1.7,15.0,0.33,0,13,30,2.31,REGULAR,73.41,0.941,0.027,0.458,0.0,2.43,178.39,144.29,34.1,0.2189,0,0
REQ-000090,14,FINANCIAL_DISTRICT,TECH_CORRIDOR,STANDARD,26.61,56.2,HEAVY_RAIN,57.2,1.5,15.7,0.2,1,22,13,0.59,REGULAR,55.93,1.2,0.12,0.0,0.0,2.32,129.76,104.7,25.06,0.2674,1,0
REQ-000091,15,AIRPORT,FINANCIAL_DISTRICT,COMFORT,3.0,9.3,DRIZZLE,0.0,10.0,8.7,0.23,1,13,12,0.92,REGULAR,13.64,0.1,0.122,0.0,0.0,1.22,16.64,12.78,3.86,0.8364,1,0
REQ-000092,3,TECH_CORRIDOR,SUBURB_NORTH,STANDARD,22.18,47.3,CLEAR,0.0,10.0,16.3,0.23,1,39,78,2.0,REGULAR,47.28,0.02,0.122,0.35,0.15,1.64,77.54,61.18,16.36,0.6511,1,0
REQ-000093,7,FINANCIAL_DISTRICT,AIRPORT,XL,13.16,35.0,DRIZZLE,0.0,10.0,10.1,0.64,0,42,74,1.76,GOLD,54.64,0.1,0.394,0.266,0.2,1.96,107.09,85.56,21.53,0.5832,1,0
REQ-000094,11,DOWNTOWN,TECH_CORRIDOR,PREMIUM,3.13,7.3,CLEAR,0.0,10.0,5.4,0.19,0,57,52,0.91,REGULAR,22.97,0.019,0.0,0.0,0.0,1.02,23.43,17.62,5.81,0.8921,1,0
REQ-000095,5,AIRPORT,FINANCIAL_DISTRICT,PREMIUM,27.5,67.9,RAIN,3.8,7.1,17.4,0.07,0,27,75,2.78,REGULAR,142.72,0.293,0.0,0.623,0.0,1.92,274.02,218.64,55.38,0.488,0,0
REQ-000096,11,SUBURB_NORTH,AIRPORT,STANDARD,21.59,44.6,HEAVY_RAIN,21.9,2.1,12.4,0.22,0,32,53,1.66,PLATINUM,45.6,0.858,0.001,0.231,0.0,2.09,95.3,76.44,18.86,0.5948,1,0
REQ-000097,2,SUBURB_NORTH,AIRPORT,XL,22.83,64.3,CLEAR,0.0,10.0,31.9,0.17,1,28,47,1.68,REGULAR,92.52,0.0,0.12,0.238,0.15,1.51,139.71,109.5,30.21,0.7183,1,0
REQ-000098,11,SUBURB_NORTH,FINANCIAL_DISTRICT,PREMIUM,11.14,20.7,DRIZZLE,0.0,10.0,16.7,0.37,1,50,61,1.22,REGULAR,56.78,0.1,0.163,0.077,0.0,1.34,76.09,59.0,17.09,0.7931,0,0
REQ-000099,14,FINANCIAL_DISTRICT,DOWNTOWN,COMFORT,24.07,66.2,CLEAR,0.0,10.0,6.8,0.2,0,46,29,0.63,REGULAR,74.01,0.015,0.0,0.0,0.0,1.01,74.75,56.14,18.61,0.8944,0,0
REQ-000100,12,AIRPORT,TECH_CORRIDOR,STANDARD,16.92,43.0,CLEAR,0.0,10.0,12.5,0.06,0,43,25,0.58,REGULAR,39.2,0.07,0.0,0.0,0.0,1.07,41.94,31.73,10.21,0.88,1,0
REQ-000101,6,SUBURB_NORTH,FINANCIAL_DISTRICT,XL,20.04,64.1,CLEAR,0.0,10.0,28.0,0.41,0,51,50,0.98,REGULAR,86.54,0.0,0.063,0.0,0.0,1.06,91.73,69.32,22.41,0.8825,1,0
REQ-000102,22,TECH_CORRIDOR,AIRPORT,XL,24.14,67.5,DRIZZLE,0.0,10.0,26.4,0.1,0,58,73,1.26,REGULAR,97.19,0.1,0.0,0.091,0.0,1.19,115.66,88.59,27.07,0.8461,1,0
REQ-000103,9,AIRPORT,TECH_CORRIDOR,COMFORT,17.91,34.4,CLEAR,0.0,10.0,24.4,0.58,0,16,50,3.12,REGULAR,49.53,0.0,0.327,0.742,0.2,2.27,112.43,90.61,21.82,0.2915,0,0
REQ-000104,20,TECH_CORRIDOR,AIRPORT,COMFORT,24.83,71.8,DRIZZLE,0.0,10.0,25.7,0.25,0,41,29,0.71,REGULAR,77.78,0.1,0.005,0.0,0.0,1.1,85.56,64.95,20.61,0.8721,1,0
REQ-000105,20,FINANCIAL_DISTRICT,SUBURB_NORTH,XL,23.99,51.6,SNOW,6.3,6.5,-13.6,0.29,0,47,53,1.13,GOLD,87.34,0.743,0.014,0.0,0.0,1.76,153.72,121.93,31.79,0.6934,1,0
REQ-000106,8,DOWNTOWN,FINANCIAL_DISTRICT,STANDARD,26.66,76.8,DRIZZLE,0.0,10.0,25.7,0.69,0,26,48,1.85,REGULAR,63.21,0.1,0.458,0.297,0.2,2.06,130.21,104.36,25.85,0.4052,0,0
